Treatment,Trial,Arena,Fish_ID,Tank_ID,Batch,Body_mass,Body_length,Velocity,notes,Distance_moved,Time_moving,Time_not_moving,Arena_freq,Time_arena,Shelter_freq,Time_shelter,Distance_shelter,total_wbc,N-L_ratio,Lymphocyte,Neutrophil,Monocyte
Control,Trial     5,Arena 2,83,9,Batch 5,0.5317,3.2,2.52225,,1626.85,388.333,346,41,771.999,26,428.001,11.7124,65,0.098901099,91,9,
high,Trial     7,Arena 2,123,13,Batch 7,0.483,3,2.55514,,42.5856,0.999999,16.6666,2,18.3333,1,1181.6667,1.15056,31,0.25,80,20,
Control,Trial    23,Arena 3,130,15,Batch 7,0.3123,2.57,2.55544,,733.751,150.867,139.567,32,291.833,3,908.167,10.3636,46,0.234567901,81,19,
low,Trial    37,Arena 1,100,21,Batch 5,0.5304,3.3,2.56692,,2371.07,438.9,490.366,49,931.599,71,268.401,9.6096,29,1.127659574,47,53,
low,Trial    16,Arena 2,147,19,Batch 8,0.737,3.7,2.64606,,125.6,15.6,32.3333,5,48.3,1,1151.7,4.24686,34,0.886792453,53,47,
high,Trial    39,Arena 1,140,23,Batch 7,0.6641,3.6,2.73405,,296.28,44.7333,66.1333,27,111.933,50,1088.067,4.21333,34,0.253164557,79,20,1
low,Trial    17,Arena 1,12,2,Batch 1,0.691,3.61,2.83438,,2712.78,515.633,447.233,48,965.499,0,234.501,12.4131,41,1.106382979,47,52,1
low,Trial    37,Arena 2,99,21,Batch 5,0.4107,3.02,3.00085,,269.577,43.7,49.5333,29,94.9999,1,1105.0001,10.4499,36,1.173913043,46,54,
low,Trial    29,Arena 1,96,21,Batch 5,0.7302,3.5,3.04817,,459.766,75.5999,76.8333,17,153.067,2,1046.933,7.82163,27,0.818181818,55,45,
Control,Trial    26,Arena 3,34,4,Batch 2,0.464,3.11,4.58038,,361.391,56.1666,28.3666,52,87.3666,0,1112.6334,7.40327,41,0.298701299,77,23,
high,Trial    35,Arena 2,59,17,Batch 3,0.8625,3.64,5.80466,,5.41764,0.666665,0.566667,1,1.26666,0,1198.73334,16.9682,31,0.2125,80,17,3
high,Trial    35,Arena 4,57,17,Batch 3,0.5642,3.29,6.40075,,17.282,2.09999,0.766669,1,3.03333,0,1196.96667,16.5777,36,0.185185185,81,15,4
high,Trial    35,Arena 3,58,17,Batch 3,0.6133,3.4,16.0401,,10.1587,0.799999,0.033333,2,1.13333,2,1198.86667,0,40,0.204819277,83,17,
high,Trial    30,Arena 2,115,22,Batch 6,0.4689,3.02,19.3717,,120.104,0.466668,6.03332,4,6.63333,3,1193.36667,0.58576,22,0.204819277,83,17,
